Codigo,Estacion,Longitud,Latitud,Ciudad,Barrio,Comuna,Corregimiento,Vereda,Fecha_Instalacion,Estado
417,Santa Elena Radar - Disdrometro,-75.52760,6.19350,Medellin,,,90 Santa Elena,El Plan,2019-12-11,Activa
418,Montanita San Antonio - Pluviografica,-75.66603,6.19219,Medellin,,,80 San Antonio de Prado,Potrerito,2019-12-26,Activa
419,SENA Ferrocarril - Meteorologica,-75.57444,6.25528,Medellin,San Benito,10 La Candelaria,,,2019-12-26,Activa
420,Pan de azucar - Pluviografica,-75.63792,6.14023,La Estrella,,,,Pueblo Viejo,2019-12-26,Activa
421,CC Viva Envigado - Pluviografica,-75.59237,6.17531,Envigado,Las Vegas,NULL,NULL,NULL,2020-01-14,Activa
422,Laguna Quitasol Digital- Humedad,-75.55572,6.35789,Bello,NULL,NULL,NULL,Tierradentro,2019-12-23,Activa
423,Q. La Ayura - Los Naranjos -  Nivel,-75.58061,6.17044,Envigado,Los Naranjos,,,,2020-02-05,Activa
424,El tesoro 2 - Humedad,-75.45892,6.35169,Girardota,,,,,2020-02-07,Activa
425,Montanita San Antonio - Disdrometro,-75.66603,6.19219,Medellin,,,80 San Antonio de Prado,Potrerito,2020-02-12,Activa
426,Unicentro -  Nivel Lidar,-75.58662,6.23988,Medellin,Los Conquistadores,11 Laureles - Estadio,NULL,NULL,2019-12-23,Activa
427,Thies ITM Castilla - Meteorologica,-75.56912,6.29391,Medellin,Girardot,05 Castilla,NULL,NULL,2019-02-20,Activa
429,Perfilador de Viento - Pluviografica,-75.58990,6.22930,Medellin,Belen Las Playas,16 Belen,,,2020-02-21,Activa
430,Deprimido de los musicos - Nivel Lidar,-75.58184,6.24745,Medellin,San Joaquin,11 Laureles - Estadio,NULL,NULL,2020-02-24,Activa
431,Q. La Honda -  Sabaneta,-75.60628,6.15124,Sabaneta,NULL,NULL,NULL,NULL,2020-02-25,Activa
432,Andalucia Caldas - Pluviografica,-75.62651,6.09259,Caldas,Andalucia,16 Belen,,,2020-02-27,Activa
433,Salada Parte Alta - Pluviografica,-75.61831,6.01689,Caldas,,,,Salada Parte Alta,2020-02-28,Activa
434,Museo de Antioquia - Pluviografica,-75.56891,6.25242,Medellin,La Candelaria,10 La Candelaria,,,2020-03-03,Activa
435,Museo de Antioquia - Disdrometro,-75.56891,6.25242,Medellin,La Candelaria,10 La Candelaria,,,2020-03-03,Activa
436,Comfama Copacabana - humedad_stevens,-75.48344,6.37659,Copacabana,,,,,2020-03-12,Activa
437,Paradero Jalisco San Felix - Pluviografica,-75.59700,6.31433,Bello,El Carmelo,,San Felix,,2020-03-31,Activa
438,La clara - Temp Pluviografica,-75.61870,6.04200,Caldas,,,,,2020-04-24,Inactiva
439,La clara - Temp Lluvia,-75.61870,6.04200,Caldas,,,,La Clara,2019-12-23,Inactiva
440,El 12 Taraza - Nivel,-75.30700,7.44800,Taraza,,,,,2020-04-28,Activa
441,Temp de agua Torre Siata - Pluviografica,-75.61870,6.04200,Medellin,Estadio,11 Laureles - Estadio,,,2020-04-24,Inactiva
442,Temp Quebrada larga - Pluviografica,-75.68567,6.20558,Medellin,,,80 San Antonio de Prado,Yarumalito,2020-05-07,Inactiva
443,Temp Quebrada larga - Temp Lluvia,-75.68567,6.20558,Medellin,,,80 San Antonio de Prado,Yarumalito,2020-05-07,Inactiva
444,Museo de Antioquia - Meteorologica,-75.56891,6.25242,Medellin,La Candelaria,10 La Candelaria,,,2020-05-07,Inactiva
445,Deprimido San Juan Con La 80 - Pluviografica,-75.60224,6.25038,Medellin,Lorena,11 Laureles - Estadio,,,2020-05-08,Activa
446,Deprimido Bulerias - Pluviografica,-75.58990,6.23950,Medellin,Laureles,11 Laureles - Estadio,,,2020-05-05,Activa
447,Deprimido San Juan Con Av Ferrocarril - Pluviografica,-75.57498,6.24598,Medellin,Guayaquil,10 La Candelaria,,,2020-05-11,Activa
448,Thies CASD - Meteorologica,-75.57523,6.29762,Medellin,La Candelaria,10 La Candelaria,,,2020-05-19,Activa
449,Monterrey - Alcantarillado Lidar,-75.57565,6.21281,Medellin,Astorga,14 El Poblado,,,2020-05-20,Activa
450,Universidad la Sallista - Meteorologica,-75.63879,6.09975,Caldas,,,,,2020-05-28,Activa
451,Heliodora - Pluviografica ,-75.58767,6.16083,Medellin,El Dorado,,,,2020-07-03,Activa
