Fecha hora inicio,Aeropuerto,Tipo Informe,Informe
2020-08- 18 12:30:00,SKBO,SPECI,SPECI SKBO 181230Z VRB02KT 9000 1000NW BCFG FEW005 BKN070 10/10 A3034 NOSIG=
2020-08- 18 12:32:00,SKCC,SPECI,SPECI SKCC 181232Z 31004KT 8000 4000NW BCFG SCT012 BKN070 24/24 A2999=
2020-08- 18 13:00:00,SKMD,METAR,METAR SKMD 181300Z VRB02KT 9999 FEW020 BKN090 20/17 A3017=
2020-08- 18 13:00:00,SKSP,METAR,METAR SKSP 181300Z 05007KT 030V090 9999 FEW017 SCT200 29/25 A2987=
2020-08- 18 13:00:00,SKBO,METAR,METAR SKBO 181300Z 03004KT 8000 2000NW BCFG FEW005 BKN070 11/11 A3035 NOSIG=
2020-08- 18 13:00:00,SKAR,METAR,METAR SKAR 181300Z 33004KT 3000 BR BKN008 BKN025 19/19 A3012=
2020-08- 18 13:00:00,SKPS,METAR,METAR SKPS 181300Z 00000KT 2000 VCFG SCT015 OVC080 16/15 A3020=
2020-08- 18 13:00:00,SKMR,METAR,METAR SKMR 181300Z VRB02KT 9999 SCT015 BKN070 26/25 A2986=
2020-08- 18 13:00:00,SKPE,METAR,METAR SKPE 181300Z 12006KT 6000 -TSRA SCT007 FEW012CB SCT080 19/19 A3012 RMK CB E/SE=
2020-08- 18 13:00:00,SKPV,METAR,METAR SKPV 181300Z 07004KT 360V140 9999 FEW017 28/26 A2987=
2020-08- 18 13:00:00,SKLC,METAR,METAR SKLC 181300Z 19004KT 9999 FEW004 SCT018 BKN300 27/25 A2987=
2020-08- 18 13:00:00,SKCG,METAR,METAR SKCG 181300Z 19007KT 9999 FEW014CB SCT200 29/27 A2982 RMK CB/W=
2020-08- 18 13:00:00,SKLT,METAR,METAR SKLT 181300Z VRB02KT CAVOK 27/25 A2985=
2020-08- 18 13:00:00,SKCC,METAR,METAR SKCC 181300Z VRB02KT 8000 4000NW BR SCT012 BKN070 24/24 A2999=
2020-08- 18 13:00:00,SKEJ,METAR,METAR SKEJ 181300Z 25004KT 9999 SCT012 26/25 A2986=
2020-08- 18 13:00:00,SKVP,METAR,METAR SKVP 181300Z 21004KT 180V260 7000 VCFG SCT010 BKN070 25/25 A2995=
2020-08- 18 13:00:00,SKNV,METAR,METAR SKNV 181300Z 21003KT 180V240 9999 FEW024 BKN100 24/20 A2997=
2020-08- 18 13:00:00,SKRG,METAR,METAR SKRG 181300Z 23003KT 9999 SCT010 SCT080 17/16 A3032 NOSIG=
2020-08- 18 13:00:00,SKIP,METAR,METAR SKIP 181300Z 00000KT 9999 BKN015 SCT080 10/09 A3042=
2020-08- 18 13:00:00,SKBG,METAR,METAR SKBG 181300Z 18007KT 9999 FEW012 SCT240 21/21 A3001=
2020-08- 18 13:00:00,SKPC,METAR,METAR SKPC 181300Z 23005KT 6000 -TSRA SCT013 BKN070 24723 A2988 RMK CB/W=
2020-08- 18 13:00:00,SKUC,METAR,METAR SKUC 181300Z 09004KT 9000 VSCH BKN017  26/24 A2986 RNK VCSH/N=
2020-08- 18 13:00:00,SKCL,METAR,METAR SKCL 181300Z 00000KT 6000 FEW017 23/20 A3005 NOSIG RMK HZ=
2020-08- 18 13:00:00,SKUI,METAR,METAR SKUI 181300Z 16003KT 9999 SCT012 SCT080 25/24 A2988=
2020-08- 18 13:00:00,SKSM,METAR,METAR SKSM 181300Z 17004KT 9999 FEW020 BKN200 28/25 A2987=
2020-08- 18 13:00:00,SKVV,METAR,METAR SKVV 181300Z 00000KT 9999 SCT020 SCT090 22/18 A2991=
2020-08- 18 13:00:00,SKBQ,METAR,METAR SKBQ 181300Z 09004KT 9999 FEW015 SCT200 27/25 A2986 NOSIG=
